296s, 65;
457s, 75 31 70 55 23 53 2 34 19 23 2 24 55 49 65 6 70 35 87 15;
457l, 70 24 11 44 84 14 34 34 20 56 48 50 49 50 65 87 11 12 6 15;
458s, 70 5 34 49 24 19 56 35 57 34 70 35 76 53 55 35 15 62 66;
458l, 32 66 43 53 24 53 19 27 21 31 31 27 24 34 62 27 54 23 62;
459s, 34 65 34 70 38 49 65 33 7 17 53 78 35 34 35 45 52 85 48;
459l, 51 37 32 19 53 58 21 17 12 23 44 78 32 51 49 87 34 85 87;
460s, 31 78 31 24 70 2 33 35 34 70 44 32 58 78 27 7 45 35;
460l, 46 70 46 91 31 51 20 27 43 20 20 50 62 6 21 35 23 55;
461s, 33 27 33 44 2 35 58 70 59 55;
461l, 49 27 35 20 32 27 20 31 22 19;
462s, 24 70 27 53 51 70 34 7 2 21 71 59;
462l, 31 19 24 18 23 87 52 34 85 6 76 79;
463s, 50 6 65 34 85 54 85 70 55;
463l, 27 11 21 53 31 1 20 89 27;
464s, 33 65 71 6 33 70 87 76 65 35 58 35 55 35 85 53 43;
464l, 27 20 23 11 12 23 6 23 19 12 65 33 27 67 31 59 23;
465s, 61 90 55 32 88 49 36 12 70 35 7 87 31;
465l, 61 73 6 62 44 50 34 62 20 33 77 79 71;
466s, 35 57 31 34 34 7 5 66 65 37 31 87 52 90;
466l, 55 57 32 44 49 7 76 65 19 31 71 31 57 73;
467s, 36 33 5 85 70 34 87 2 61 6 7 20 21 23 61 12 56 15 23 79 56;
467l, 56 27 14 55 31 59 31 7 52 62 66 20 6 16 43 12 56 90 20 34 45;
468s, 72 85 61 52 43 70 23 19;
468l, 90 85 43 50 79 65 57 19;
469s, 76 22 21 32 24 33 23 85 24 23;
469l, 91 21 61 24 57 49 23 51 23 84;
470s, 21 23 72 33 76 21 23 34 34 7 33;
470l, 12 20 73 33 27 56 32 43 19 66 21;
471s, 7 52 65 34 65 33 34 7 74 34 29 19 90 70 87;
471l, 23 37 37 78 89 21 65 37 57 79 8 84 13 65 45;
472s, 31 23 55 7 16 5 66 53 20 87 34 27 18;
472l, 89 27 31 77 18 78 65 20 20 45 43 71 6;
473s, 49 33 20 6 33 85 7 33 90 49 2 33 33 21 85 23 35 52 60;
473l, 46 70 34 74 44 51 7 91 13 23 7 49 85 20 17 23 12 50 25;
474s, 45 85 33 68 7 53 87 66 65 34 79 34 35 23 65 35 55;
474l, 90 31 12 68 20 53 77 37 66 79 44 78 33 20 37 33 33;
475s, 34 59 34 55 5 66 45 70 60 23 18 55 71 87;
475l, 34 79 85 35 75 16 45 79 54 23 50 32 23 77;
476s, 34 45 90 24 34 7 13 45 23 35 6 76;
476l, 78 66 72 30 62 7 81 90 17 76 89 76;
477s, 5 21 43 7 27 21 45 35;
477l, 87 21 31 19 32 6 6 53;
478s, 85 6 23 48 23 34 70 87 77 66 31 13 34;
478l, 51 18 17 57 23 34 65 6 87 31 31 90 20;
479s, 77 58 5 21 55 34 90 16 31 45 68 19 35;
479l, 77 50 44 21 70 89 29 16 32 34 68 19 33;
480s, 77 33 87 85 79 33 19 1 67 68 19 26 6 87 70;
480l, 32 12 62 79 34 32 88 26 27 9 53 54 62 48 37;
481s, 33 85 35 12 87 65 16;
481l, 49 6 22 66 24 66 46;
482s, 34 31 70 78 31 78 70 65 90 7 31 36 31 49;
482l, 34 31 32 34 23 78 32 66 68 7 87 32 31 65;
483s, 11 41 48 55 19 70 34 54 49 34 34 12 65 85;
483l, 85 57 43 32 62 7 34 54 14 59 51 76 5 6;
484s, 78 34 7 49 76 5 19 70 90 66 53 54 88 70 55 90 30 24;
484l, 59 19 58 49 76 62 77 44 68 31 88 10 7 19 24 73 76 31;
485s, 23 26 49 34 48 33 49 23 87 11 33 70 24 45 19 23;
485l, 23 90 50 34 87 21 23 44 24 45 32 65 71 30 14 23;
486s, 33 11 70 88 5 70 34 48 34 66 59 87 23 5;
486l, 19 43 44 76 32 89 89 87 34 51 67 77 37 70;
487s, 18 34 77 85 78 55 70 53;
487l, 23 43 79 23 87 49 65 53;
488s, 26 85 23 89 32 34 70 49 71 53 87;
488l, 90 31 61 87 12 7 23 61 19 53 48;
489s, 19 11 35 62 52 71 31 35 54 55 35 65 35 19 45 35 6;
489l, 44 11 33 88 23 19 65 31 34 49 76 37 24 44 45 76 91;
490s, 23 59 11 53 49 31 84 5 35 49 36 35 35 35 23;
490l, 59 34 79 53 66 61 6 17 23 34 23 23 34 31 23;
491s, 34 56 2 31 50 53 70 62 6 49 23 35;
491l, 48 56 2 50 49 31 70 62 62 43 50 20;
492s, 70 29 77 19 12 27 85 67 70 49 90 53 59 45 7;
492l, 65 82 87 11 49 89 6 19 85 23 73 53 70 31 2;
493s, 23 87 31 43 27 32 19 5 78 55 70 70;
493l, 19 6 76 43 27 23 44 44 78 76 70 49;
494s, 34 85 55 33 12 66 87 33;
494l, 44 31 23 79 65 27 17 33;
495s, 76 21 84 24 55 65 12 43 6 65 41 65 2 75 70 31 78;
495l, 65 21 87 57 44 21 49 85 87 20 54 20 85 88 53 52 61;
496s, 43 70 24 90 58 19 31 17 65 7 70 53;
496l, 84 19 57 73 21 45 20 49 31 2 22 34;
497s, 34 18 27 19 18 33 7 27 19;
497l, 5 65 46 46 20 79 34 62 61;
498s, 55 85 5 19 34 34 55 90 33 74 12;
498l, 49 44 44 23 53 77 24 26 11 45 71;
499s, 23 34 27 33 61 35 70;
499l, 16 7 24 33 65 33 70;
500s, 84 87 57 43 55 77 20 49 5 70 62 35 70 33 49 70;
500l, 84 32 24 55 76 88 17 6 21 70 88 33 65 33 49 7;
501s, 84 21 23 15 12 52 70 56 70 36 34 7 33;
501l, 34 21 23 31 23 65 88 56 31 6 77 17 55;
502s, 33 23 6 49 32 30 33 5 27 51 33 65 87 34 2 90 70 88 73;
502l, 24 65 36 76 44 30 76 70 20 49 23 52 62 43 24 68 65 88 57;
503s, 65 21 65 19 55 70 6 53 27 11 7 34 15 51 62 70 45 16;
503l, 66 31 7 31 49 37 11 23 19 70 58 65 15 70 55 16 77 18;
504s, 12 33 70 19 43 27 34 23 15 33 66 76 19 31;
504l, 55 65 65 23 61 19 51 23 15 27 61 35 20 20;
505s, 50 17 55 41 35 59 23 53 76 78;
505l, 24 31 57 54 27 87 2 88 17 78;
506s, 56 33 65 21 53 55 48 23;
506l, 61 49 65 61 53 57 62 23;
507s, 45 56 76 34 17 34 33 78 48 3 6 78 70 58;
507l, 44 61 70 7 18 77 33 87 31 44 87 58 44 19;
508s, 45 34 18 88 23 59 87 24 41 33 11 32;
508l, 77 35 44 55 31 34 6 49 69 55 85 85;
509s, 57 44 70 33 19 73 49 6 70 88 85 49 32 70 76 12;
509l, 3 21 62 34 11 38 65 49 21 5 11 53 27 70 76 27;
510s, 65 23 85 61 87 59 65 16 70 21 20;
510l, 44 23 11 18 6 34 77 23 85 65 33;
511s, 33 87 46 12 87 50 77 11 35 69 53 36 70 33 6;
511l, 76 31 16 31 31 58 34 34 33 24 53 75 31 33 11;
512s, 31 87 33 89 77 66 37 32 61 77 35 87 23 84 74 55 78;
512l, 24 43 12 23 23 66 65 55 23 87 12 6 2 21 27 49 78;
513s, 48 79 19 24 38 66 17 35 79 77 87 61 33 35 48 87 68 35 89 46;
513l, 31 49 34 74 38 61 50 35 21 70 30 23 34 27 27 23 90 49 31 23;
514s, 87 33 87 49 76 35 34 35 35 21;
514l, 31 35 24 32 7 12 61 33 32 6;
515s, 11 21 87 33 36 33 27 6 21 76 34 59 78 73 5;
515l, 34 31 7 91 31 67 35 89 6 76 85 19 71 73 58;
516s, 91 38 87 75 90 11 73 58 58 49 34;
516l, 91 26 31 51 68 20 90 37 58 31 19;
517s, 36 34 67 35 29;
517l, 19 61 67 49 38;
518s, 55 54 49 66 36 70 35 34 31;
