296s, 65;
1061l, 12 37 87 85 34 65 34 32 32 49 35 23 49 32 5 34 35 7 34 70;
1062s, 19 70 48 19 21 44 79 25 35 68 12;
1062l, 59 58 55 35 65 70 31 54 49 68 34;
1063s, 73 34 85 90 24 79 32 57 33 6 32 37 22 70 32 5 3 56;
1063l, 68 53 34 90 30 85 33 23 35 18 32 57 7 34 33 59 3 31;
1064s, 11 32 35 87 34 62 34 8 70 68 87 8 33 43 19 85 24 11;
1064l, 6 23 33 6 34 75 35 57 11 48 51 8 27 19 22 11 91 48;
1065s, 17 70 23 85 52 32 24 41 21 20 85 23 19 24 11 70 6;
1065l, 17 77 19 33 34 23 20 54 19 57 85 37 23 87 48 27 33;
1066s, 32 23 17 68 20 23 90 72 70 34 12 52 49 87 88 23 65 51 6 55;
1066l, 35 37 32 90 57 35 90 90 58 53 12 34 32 48 70 24 65 51 23 67;
1067s, 34 32 31 70 5 17 88 85 70 51 32;
1067l, 51 56 35 58 65 17 20 33 70 34 35;
1068s, 19 85 33 53 24 23 33 34 90 35;
1068l, 19 85 58 66 17 33 32 34 68 55;
1069s, 37 62 18 71 62 6 32 33 79 49 32 42 55;
1069l, 67 6 56 71 40 33 27 55 85 20 70 42 32;
1070s, 62 85 57 75 32 33 88 14 23 11 6;
1070l, 12 23 70 35 27 35 77 12 18 19 85;
1071s, 17 34 5 30 11 6 49 34 43 4 34 19 24 44 87;
1071l, 32 34 33 23 62 35 20 65 33 55 85 53 23 65 48;
1072s, 19 58 6 32 44 87 23 37 44 58 7 87 33 11 58 58 70;
1072l, 31 70 20 52 65 20 70 37 20 65 55 48 35 19 16 16 55;
1073s, 23 53 70 10 23 57 8 6;
1073l, 17 35 70 10 37 62 82 20;
1074s, 85 4 7 87 32 11 2 16 23 85 35 32 48 23 31;
1074l, 65 11 85 55 55 84 18 55 27 6 12 35 34 6 16;
1075s, 15 6 57 17 85 32 45 55 34 48 62 57 6 78 70 58 65 32 46 6 48;
1075l, 28 23 50 17 89 35 34 27 59 34 67 57 85 84 5 33 23 66 23 23 35;
1076s, 60 79 77 33 43 37 87 33 49 10 57 65 45 70 6 36 32 6 75 65;
1076l, 54 85 34 35 59 23 45 33 17 73 70 65 70 67 23 70 35 34 65 58;
1077s, 70 23 57 70 27 16 31 34 24 55 90 33 33;
1077l, 34 2 70 23 37 87 55 67 35 35 68 70 70;
1078s, 10 16 23 35 33 33 59 6;
1078l, 60 87 70 49 35 33 59 55;
1079s, 70 23 5 31 52 57 87 59 87 90 70 20 32 70 34;
1079l, 88 23 65 31 58 50 24 18 65 68 20 58 70 20 35;
1080s, 62 34 57 58 14 52 34 62 31 24 90 35 91 62 52 55 7 2;
1080l, 58 35 57 20 48 23 48 45 65 70 72 35 23 6 55 48 7 53;
1081s, 24 90 17 23 57 21 90 46 34 51 55 63 24 7 6 2;
1081l, 70 73 17 53 32 20 81 16 51 53 12 39 87 34 45 59;
1082s, 25 17 12 71 49 85 87 17 12 35 70 70 32 27 70;
1082l, 28 6 55 57 34 53 6 17 35 23 88 34 35 51 43;
1083s, 33 46 18 32 67 17 33 79 70 11 70;
1083l, 35 23 21 61 52 34 27 84 67 6 67;
1084s, 56 77 34 32 67 31 13 35 87 56 70 37 24 25 32 65 27 70 24 23;
1084l, 23 11 59 48 67 85 90 33 34 32 5 67 48 54 5 23 35 21 70 23;
1085s, 27 33 23 79 33 6 57 88;
1085l, 27 35 23 77 33 6 11 20;
1086s, 57 33 21 22 10 23 27 37 23 32 33 7 12 33 35 17;
1086l, 31 19 70 34 32 23 57 79 35 70 35 59 35 65 33 50;
1087s, 51 7 31 5 41 57 89 70 37 6 33 22 84 34 6;
1087l, 48 35 62 34 62 24 89 53 66 41 35 34 85 70 39;
1088s, 57 75 55 17 62 29 70 56 32 18 70 56;
1088l, 57 79 35 17 65 8 17 21 66 18 32 56;
1089s, 20 66 23 33 58 57 62 32 31 19 70 68 52 56;
1089l, 33 51 31 12 65 23 18 35 79 23 35 90 34 21;
1090s, 67 65 23 84 32 31 19 26 24 7 35 33 37;
1090l, 62 37 35 85 7 55 23 90 35 34 33 33 65;
1091s, 27 77 18 33 7 16 35 65 35 16 7 91;
1091l, 27 31 17 16 67 23 49 67 65 23 49 24;
1092s, 70 23 58 65 51 20 31 33 6 37 19 34 70 37 61 70 35 24;
1092l, 70 70 55 87 34 23 21 49 34 88 23 36 75 37 23 88 23 35;
1093s, 91 31 52 31 33 35 34 35 6 59 67 49;
1093l, 24 21 79 35 35 35 67 35 87 59 70 35;
1094s, 16 66 37 43 73 65 7 51 19 59 51 19 85;
1094l, 34 65 11 34 57 58 34 37 31 34 51 31 23;
1095s, 65 6 55 78 65 77 34 31 23 46 41 90 19 57 19;
1095l, 34 23 35 34 58 24 87 62 61 46 41 68 70 24 70;
1096s, 57 33 65 37 65 3 7 23 20 62 46 12 33;
1096l, 57 56 20 37 87 3 27 23 23 70 23 33 35;
1097s, 25 57 33 70 90 34 56 33 23 49 35 3 62 79 57 27 50;
1097l, 86 57 35 45 71 35 19 35 23 35 46 23 62 34 78 27 65;
1098s, 52 45 31 24 55 32 6 62 67 77 23 66 43 34 37;
1098l, 35 27 62 49 71 23 70 69 67 45 23 85 34 58 65;
1099s, 89 85 33 16 55 49 12 37 23 67 84 65 21 32;
1099l, 89 34 34 51 33 45 31 34 49 53 19 65 67 23;
1100s, 49 22 31 36 88 29 55 11 56 66 8 24 56 72 85;
1100l, 49 34 31 32 88 81 33 6 56 23 8 55 79 90 23;
1101s, 57 23 31 59 24 48 17 79 32 23 11 31 20 27 33 11 32 33 8 7;
1101l, 60 87 53 58 23 70 23 70 35 70 20 19 14 27 89 53 33 89 8 36;
1102s, 31 34 49 48 20 34 62 90 78 49 7;
1102l, 23 49 31 53 32 49 20 72 55 70 7;
1103s, 34 21 77 85 67 44 65 70 20 65 27 18 57 8 32 34 87 50;
1103l, 19 65 70 79 67 70 66 70 37 66 49 18 66 13 35 19 87 37;
1104s, 25 11 70 49 23 27 31 84 58 67 87 34 27 50 37;
1104l, 28 34 70 65 35 35 61 34 71 55 6 65 27 37 7;
1105s, 23 14 51 19 84 31 20 89 70 57 87 23 18 90 73 55 65 59 57 56;
1105l, 35 23 34 19 19 32 35 61 19 57 48 52 23 17 90 35 48 19 23 11;
1106s, 35 57 34 19 37 70 33 11 79 35 6 48 57;
1106l, 35 57 7 34 19 5 35 6 85 49 87 55 71;
1107s, 49 37 23 33 70 57 23 55 45 70 20 35 58 55 34 90 49;
1107l, 12 19 20 55 49 70 5 70 87 7 61 27 67 11 23 35 17;
1108s, 70 52 31 59 21 35 34 31 37 85 32 16 59 65 25 32 65 19;
1108l, 22 38 85 59 7 55 34 85 58 79 35 6 59 37 54 32 85 75;
1109s, 74 55 34 49 27 79 23 55 70 21 6 49 75;
1109l, 35 46 7 55 27 23 35 34 22 65 18 45 58;
1110s, 48 75 49 67 34 79 34 15 6 85 20 23;
1110l, 36 35 70 21 43 59 89 86 48 65 65 70;
1111s, 45 33 34 51 85 45 34 33 31 66 34 8;
1111l, 16 35 89 34 65 67 19 49 70 65 55 8;
1112s, 48 57 81 58 2 67 48 20 20 57;
1112l, 49 27 72 36 34 52 58 37 52 70;
1113s, 65 34 5 90 88 67 27 32 85 49 17 8 48 61 35 85 33 57;
1113l, 67 70 34 72 51 67 27 34 6 48 56 73 51 65 33 79 7 85;
1114s, 87 32 67 3 23 6 27 7 33 19 45 23 32 57 23;
1114l, 65 27 67 57 11 87 53 36 35 70 48 16 55 23 49;
1115s, 47 56 6 70 88 16 23 66 32 6 52 55 32 57 70 49 6 34 13;
1115l, 28 48 49 65 7 61 35 16 23 54 34 35 70 4 34 49 35 11 90;
1116s, 65 6 34 23 7 85 6 33 58 87 34 6 27 70 61;
1116l, 70 6 65 70 7 65 87 12 22 7 79 34 19 36 75;
1117s, 33 65 37 58 6 65 78 61 33 27 65 43 49 48 65;
1117l, 71 65 58 21 58 75 34 65 27 27 70 43 12 11 70;
1118s, 31 7 62 88 58 20 18 57 48;
1118l, 36 6 89 33 65 85 34 57 55;
1119s, 34 68 43 35 20 33;
1119l, 70 73 53 32 27 34;
1120s, 18 35 6 23 65 43 57 3 27;
1120l, 58 33 35 32 70 84 33 7 35;
1121s, 70 17 48 87 52 23 33 16 70 75 56 85 34 55 65 19;
1121l, 53 17 58 57 34 70 34 61 70 84 56 58 31 49 61 70;
1122s, 17 23 56 34 23;
1122l, 17 19 56 59 6;
1123s, 90 19 20 90 17 85 87 79;
1123l, 73 19 88 73 88 34 87 23;
1124s, 6 23 57 35 19 22 14 57 34 33;
1124l, 61 35 24 62 70 34 49 57 67 35;
1125s, 32 87 57 23 6 34 23 49;
1125l, 70 62 6 74 61 27 53 49;
1126s, 5 87 32 31 23 19 37 75;
1126l, 59 6 35 31 53 19 37 37;
1127s, 84 27 18 49 19 43 27 34 20 75 70;
1127l, 70 27 89 51 32 67 27 79 20 35 70;
1128s, 23 19 67 8 31 27 62 66 49 43 23;
1128l, 62 59 67 29 43 35 57 35 55 49 49;
1129s, 55 24 27 89 12 26 70 34;
1129l, 33 50 87 37 33 90 55 19;
1130s, 49 55 61 34 23 24 35 65 7 22 34 31 37 34;
1130l, 49 7 87 77 7 3 33 58 34 34 55 31 55 7;
1131s, 34 87 23 49 73 88 49 6 32 5 21 6;
1131l, 32 20 37 49 9 2 48 11 35 34 6 11;
1132s, 23 33 48 52 33 23 6 6 6 27 7 61;
1132l, 21 35 6 34 35 35 11 70 65 53 32 48;
1133s, 19 6 65 34 52 33 89 66 23 34 6 35 61 70 71 11 6 23 20;
1133l, 58 18 20 31 59 35 85 65 35 31 6 55 11 88 23 45 58 16 20;
1134s, 6 55 7 70 57 31 6 37 23 71 88 32 65 23;
1134l, 52 49 34 70 57 31 52 34 66 70 62 33 20 16;
1135s, 53 62 24 57 23 35 6 55 79 37 37;
1135l, 34 10 3 78 66 33 33 35 53 19 19;
1136s, 6 53 55 34 70 45 89 47 34 84 65 33 23;
1136l, 88 34 35 53 34 66 34 47 34 50 84 35 35;
1137s, 57 35 89 34 21 53 35 29 34 51 33 32 70 21 33 27 34;
1137l, 57 7 87 53 70 34 35 8 78 17 23 50 65 7 55 35 32;
1138s, 23 33 57 7 57 23 58 66 55 34 88;
1138l, 35 35 24 34 54 19 43 51 23 70 70;
1139s, 65 72 58 87 87 45 85 12 7;
1139l, 70 90 7 48 48 66 6 35 70;
1140s, 17 55 58 27 61 65 7 87 82 82 65 8;
1140l, 17 33 59 71 21 79 67 45 42 42 67 8;
1141s, 37 27 65 44 47 21 82 87 70 49 8;
1141l, 59 53 70 19 15 65 42 6 2 19 29;
1142s, 23 57 52 65 27 85;
1142l, 48 24 18 20 12 67;
1143s, 43 61 31 65 6 61 27 44 50 27 70 88 55;
1143l, 70 89 16 7 45 61 35 19 49 35 65 85 23;
1144s, 43 75 32 62 33 53 20 70 32 58 65;
1144l, 65 52 55 53 44 19 31 34 55 75 49;
1145s, 52 84 34 85;
1145l, 87 84 35 2;
1146s, 58 3 73 49 27 65 34 52 38 66 4 11 37;
1146l, 43 24 73 70 27 62 70 34 47 65 73 11 34;
1147s, 65 48 49 34 27 50 34 20 81 19 55 19 57 11 34 84;
1147l, 49 58 70 53 49 85 70 34 13 65 88 65 23 55 84 65;
1148s, 49 50 53 65 35 49 65 35 49 37 85 34 51;
1148l, 55 23 23 61 35 2 23 35 55 70 7 37 70;
1149s, 31 61 49 59 31 24 66 68 85 90 55;
1149l, 35 61 35 75 35 48 48 90 7 72 88;
1150s, 31 59 34 19 67 58 19 75 43 46 11 49 19 11 23 7;
1150l, 35 34 34 88 59 34 88 88 21 56 17 45 70 17 75 37;
1151s, 71 50 34 65 19 58 84 48 87 50 11 19 11 51 35 23 32 70;
1151l, 91 35 33 5 14 34 23 58 58 17 18 23 17 51 33 75 12 34;
1152s, 51 45 49 87 55 32 65 56 70 49 65 55 70 37;
1152l, 51 34 24 58 35 34 32 49 34 70 61 55 67 58;
1153s, 52 68 31 23 33 67 52 32 23 31;
1153l, 52 90 31 34 35 36 17 32 35 66;
1154s, 12 32 62 29 17 6 20 35 32;
1154l, 35 70 87 8 70 70 34 75 33;
1155s, 48 6 25 51 50 19 27;
1155l, 19 55 54 70 32 49 33;
1156s, 68 35 62 20 58 48 52;
1156l, 48 33 7 52 55 23 19;
1157s, 31 43 62 71 16 51 61;
1157l, 12 21 7 87 77 70 58;
1158s, 35 85 70 34 85 52 16 24 58;
1158l, 55 53 84 34 7 3 23 21 21;
1159s, 7 77 65 73 67 43 70 70;
1159l, 11 70 34 90 2 33 34 59;
1160s, 70 19 16 27 45 79 37;
1160l, 59 19 23 32 65 59 37;
1161s, 27 65 21 35 87 57 33 25 6 50 88 89;
1161l, 27 85 45 32 87 57 35 10 66 34 18 65;
1162s, 2 27 88 34 11 87 89 54 33 21;
1162l, 57 35 18 7 75 66 84 73 35 34;
1163s, 49 57 61 2 49 23 4 65 23 25 87 70;
1163l, 35 49 34 88 65 79 4 55 23 54 87 7;
1164s, 34 49 58 52 61 34 24 52 45 70 32;
1164l, 7 70 49 70 65 70 70 70 71 7 55;
1165s, 75 84 20 12 27 87 61 6 20 49;
1165l, 75 84 65 57 27 85 23 70 12 12;
1166s, 58 66 88 12 49 70 34 70;
1166l, 49 66 70 45 35 34 34 70;
1167s, 66 67 6 21 32 60 6 21 7;
1167l, 12 36 6 18 35 60 70 65 34;
1168s, 45 7 87 35 54 19 18 65 33 27 61;
1168l, 23 34 5 35 41 19 34 34 55 59 84;
1169s, 27 60 18 88 33 20 33 18 19 33 87 18 23;
1169l, 27 60 18 34 55 58 65 18 27 65 23 16 70;
1170s, 70 73 34 70 34 52 52 23;
1170l, 34 90 87 7 34 85 85 36;
1171s, 47 51 84 51 84;
1171l, 86 12 51 58 23;
1172s, 7 70 33 35 51 12 16;
1172l, 34 34 35 32 58 35 14;
1173s, 70 58 34 65 16 35 35 73;
1173l, 34 7 11 67 21 33 33 60;
1174s, 33 20 3 23 90 70 34 57 77 16;
1174l, 35 30 48 88 72 21 65 57 66 23;
1175s, 41 37 33 54 34 68 66 65 18 7 51;
1175l, 23 37 35 41 62 90 23 67 18 27 79;
1176s, 6 66 16 31 33 18 6 32 51;
1176l, 53 65 58 34 35 79 45 55 79;
1177s, 6 7 85 58 35 6 57 32 11 51;
1177l, 62 27 6 12 55 18 24 32 62 51;
1178s, 34 57 77 34 70 54 52;
1178l, 48 57 34 88 34 25 52;
1179s, 34 23 79 27 57 58 33 16 21 49 68 66;
1179l, 7 35 53 27 30 21 55 23 7 49 68 37;
1180s, 54 49 57 61 27 72 33 27 85 68 33;
1180l, 86 79 30 45 34 47 35 27 19 90 12;
1181s, 3 88 49 51 85 66 18 66;
1181l, 91 88 49 19 70 37 18 37;
1182s, 41 27 34 31 79 27 58 35 49 65;
1182l, 68 23 2 31 85 44 34 35 49 49;
1183s, 23 49 35 85 34 3 23 31 34 25 49 21 62;
1183l, 89 4 33 6 20 3 55 5 34 47 35 34 40;
1184s, 23 62 71 68 6 3 58 55 34 32;
1184l, 87 45 33 90 66 57 59 67 23 89;
1185s, 57 31 34 65 62 34 17 27 18;
1185l, 55 31 12 70 20 51 27 27 20;
1186s, 62 23 55 34 33 44 34 20 85;
1186l, 87 44 3 59 62 44 2 55 57;
1187s, 49 23 33 65 20 23 17 67 33 35 44 67 49 48;
1187l, 35 70 55 84 58 6 17 52 12 33 6 67 35 35;
1188s, 23 20 23 66 65 67 90 3 79 34;
1188l, 6 58 23 87 7 55 68 23 70 66;
1189s, 21 17 34 57 57 58 3;
1189l, 58 49 34 57 57 2 24;
1190s, 24 18 48 34 87 67 54 23 3 57 37 11 33 90 3 65;
1190l, 91 21 61 11 87 67 72 32 74 74 6 34 35 73 24 19;
1191s, 57 33 35 55 75 27 87 65 35 23;
1191l, 57 35 27 35 65 2 52 19 33 35;
1192s, 6 1 57 65 23 74 34 65 32 34 48 48 49 58;
1192l, 41 54 24 34 23 71 34 7 55 66 87 87 49 58;
1193s, 65 44 87 58 27 58 44 65 35 23 48 49 48;
1193l, 70 88 70 65 62 65 65 67 33 31 11 7 11;
1194s, 49 44 85 62 18 23 34 6 19 49 21;
1194l, 87 65 65 6 18 85 16 33 19 70 33;
1195s, 88 14 89 48 34 54 48 19 34 55 54 60 33 55 31 34 58 10 60 33;
1195l, 2 66 77 61 7 25 16 20 34 87 25 60 12 49 85 75 70 17 55 70;
1196s, 43 48 67 34 49 23 32;
1196l, 48 70 2 70 70 27 75;
1197s, 59 23 55 70 24 90 34 51 70 23 44;
1197l, 88 11 87 19 57 90 7 12 23 34 70;
1198s, 21 84 62 89 49 55 23 87 33 23 87;
1198l, 21 84 6 70 35 23 70 6 49 4 75;
1199s, 67 60 35 57 19 34 21 25 2 33 23;
1199l, 20 55 33 57 19 70 34 47 19 35 45;
1200s, 34 57 31 23 19 34 52 6 34 34 58 34;
1200l, 59 57 34 23 49 20 24 67 58 49 58 70;
1201s, 24 23 65 75 71 34;
1201l, 57 23 34 7 45 84;
1202s, 43 34 36 57 58 34;
1202l, 18 84 19 23 21 56;
1203s, 45 7 34 70 71 34 19;
1203l, 44 34 37 34 67 19 49;
1204s, 34 65 79 34;
1204l, 30 49 53 70;
1205s, 58 21 43 33 23 57;
1205l, 65 33 70 35 87 65;
1206s, 87 57 21;
1206l, 48 57 57;
1207s, 68;
1207l, 90;
1208s, 79 25 23 84 87 3 34;
1208l, 34 54 45 51 45 16 45;
1209s, 61 79 65 45 6;
1209l, 51 85 34 45 24;
1210s, 27 36 53 65 20 79 3 55 34;
1210l, 32 27 53 34 19 11 16 67 88;
1211s, 65 51 16 44 19 23 51;
1211l, 7 34 34 45 19 23 34;
1212s, 66 19 53 3;
1212l, 36 5 31 4;
1213s, 77 24 70;
1213l, 19 17 34;
1214s, 65 3;
1214l, 67 17;
1215s, 19 74 57;
1215l, 34 23 57;
1216s, 23 27 18 49 48 32 78 57;
1216l, 49 85 49 34 48 87 58 57;
1217s, 52 32;
1217l, 34 49;
1218s, 65 23 39;
1218l, 70 23 39;
1219s, 25 70 41 49 23;
1219l, 86 35 70 19 11;
1220s, 12 19 85 24 49 57 23 87;
1220l, 33 75 52 71 31 57 23 6;
1221s, 33 48 57;
1221l, 35 27 70;
1222s, 58 34;
1222l, 40 87;
1223s, 52 44 35 34 49;
1223l, 88 16 55 48 61;
1224s, 31 34 67;
1224l, 53 21 53;
1225s, 2 17 53;
1225l, 70 17 34;
1226s, 17 17;
1226l, 17 55;
1227s, 23 34 6 17;
1227l, 55 84 55 23;
1228s, 31 16 18;
1228l, 31 49 16;
1229s, 18 52 27 55 31 7;
1229l, 16 34 35 35 16 34;
1230s, 35 57 34;
1230l, 55 57 70;
1231s, 32 36 36 61;
1231l, 35 85 85 37;
1232s, 24 49 43 90 7 34 18;
1232l, 57 75 34 68 87 7 61;
1233s, 2 66 33 48;
1233l, 70 87 12 6;
1234s, 2 53 31 20 48 48;
1234l, 75 37 66 34 87 87;
1235s, 33 4;
1235l, 34 13;
1236s, 34 6;
1236l, 55 6;
1237s, 7 37 43;
1237l, 22 70 48;
1238s, 7 75 34 57 23 87;
1238l, 7 34 7 57 23 43;
1239s, 56 57;
1239l, 56 57;
1240s, 70 53 23 33;
1240l, 35 84 31 35;
1241s, 41;
1241l, 15;
1242s, 61 34 84 58;
1242l, 14 7 34 65;
1243s, 65;
1243l, 65;
1244s, 31 26 65;
1244l, 46 13 21;
1245s, 77;
1245l, 65;
1246s, 55 16 49 74 51;
1246l, 49 40 35 79 34;
1247s, 78 6;
1247l, 61 52;
1248s, 48;
1248l, 48;
1249s, 66 34 48 90;
1249l, 65 58 34 27;
1250s, 70 34 34;
1250l, 77 53 55;
1251s, 77 35 32 75 44 65 87;
1251l, 77 55 35 40 55 43 67;
1252s, 61;
1252l, 23;
1253s, 6 16 16;
1253l, 77 49 23;
1254s, 34 65 34 67 51 46 34 16;
1254l, 70 70 33 6 34 46 66 62;
1255s, 34 16 35 34;
1255l, 65 18 55 6;
1256s, 16 34 34;
1256l, 16 6 49;
1257s, 34 34 34;
1257l, 48 48 70;
1258s, 7 36 87;
1258l, 77 37 65;
1259s, 51 56 87 34;
1259l, 67 37 87 65;
1260s, 34;
1260l, 36;
1270s, 65;
1270l, 65;
1271s, 58;
1271l, 3;
1273s, 48;
1273l, 6;
1274s, 90;
1274l, 73;
1275s, 52;
1275l, 65;
1279s, 68;
1279l, 0;
1284s, 12;
1284l, 24;
1288s, 8;
1288l, 64;
1289s, 87;
1289l, 6;
1291s, 71;
1291l, 47;
1292s, 35;
1292l, 71;
1294s, 90;
1294l, 40;
1296s, 11;
1296l, 18;
1297s, 90;
1297l, 40;
1300s, 76;
1300l, 49;
1303s, 49;
1303l, 24;
1304s, 34;
1304l, 65;
1307s, 52;
1307l, 65;
1311s, 48;
1311l, 85;
1312s, 58;
1312l, 65;
1314s, 34;
1314l, 6;
1319s, 19 34;
1319l, 84 65;
1334s, 65;
1334l, 56;
1341s, 33 55;
1341l, 62 31;
1346s, 23 65;
1346l, 44 90;
1350s, 78;
1350l, 58;
1352s, 65;
1352l, 87;
1353s, 55;
1353l, 12;
1354s, 20;
1354l, 17;
1355s, 66;
1355l, 32;
1356s, 49;
1356l, 6;
1357s, 7;
1357l, 7;
1358s, 71 19 72;
1358l, 70 31 90;
1360s, 65;
1360l, 90;
1361s, 35;
1361l, 35;
1362s, 31 31 31;
1362l, 49 49 61;
1365s, 65;
1365l, 6;
1366s, 90;
1366l, 72;
1369s, 34;
1369l, 58;
1371s, 53;
1371l, 67;
1372s, 23 56;
1372l, 44 77;
1373s, 35;
1373l, 35;
1376s, 76 44;
1376l, 49 44;
1377s, 85;
1377l, 85;
1378s, 76;
1378l, 65;
1381s, 16;
1381l, 76;
1382s, 76 48;
1382l, 76 87;
1383s, 65 55 34 88;
1383l, 34 55 65 34;
1385s, 70;
1385l, 70;
1386s, 7 49 7 31;
1386l, 34 27 7 31;
1387s, 34 12 38;
1387l, 65 32 53;
1388s, 57 76;
1388l, 57 76;
1390s, 32;
1390l, 67;
1391s, 34;
1391l, 53;
1392s, 6;
1392l, 55;
1395s, 21 88;
1395l, 49 23;
1396s, 58;
1396l, 19;
1398s, 5 45 31;
1398l, 31 31 27;
1399s, 65 2;
1399l, 55 67;
1400s, 70 20 27 45;
1400l, 6 55 27 87;
1401s, 2 23 35 36 65 89;
1401l, 75 32 76 20 65 87;
1402s, 62 24 12;
1402l, 11 24 30;
1403s, 37 88 19 61 55;
1403l, 37 89 19 18 74;
1404s, 61;
1404l, 18;
1405s, 33 36 11 73 3;
1405l, 33 49 11 85 71;
1406s, 20 35 34;
1406l, 31 35 34;
1407s, 76;
1407l, 27;
1408s, 21 31 76;
1408l, 21 31 27;
1409s, 74 57;
1409l, 7 91;
1410s, 41 65 34 34 35 85;
1410l, 23 36 4 4 6 6;
1411s, 6 32 67 32 37 35;
1411l, 33 34 76 31 51 35;
1412s, 70 35 51 45 33 34;
1412l, 34 33 23 45 76 17;
1413s, 34 57 34;
1413l, 32 57 12;
1414s, 92 33 87 7;
1414l, 64 21 45 32;
1415s, 23 48 87 34 46 31;
1415l, 27 65 66 75 49 31;
1416s, 90 23 12 48 19;
1416l, 81 31 34 6 19;
1417s, 76 52 33 49 19 53 88 20;
1417l, 59 31 67 57 35 70 23 23;
1418s, 38 6 87 34;
1418l, 20 6 31 71;
1419s, 48 70 23 76 49;
1419l, 87 16 76 76 58;
1420s, 2 45 49 44 70 23 49 70;
1420l, 55 31 23 7 16 70 76 16;
1421s, 70 31 5 70 34;
1421l, 34 31 5 34 34;
1422s, 29 70 25 34 65 62 31 33 14 51 32 31 62 35 12;
1422l, 6 70 28 77 20 57 31 76 31 31 71 31 57 55 20;
1423s, 76 49 31 56 31 35 65 45 70 48;
1423l, 76 77 55 31 85 14 55 6 16 79;
1424s, 85 21 62 35;
1424l, 89 55 67 27;
1425s, 88 31 21 30 88 32 12 34 68 33 87;
1425l, 87 85 34 32 65 34 12 34 9 33 34;
1426s, 72 66 55 51 12 7 85 79 67 84 48 70 59;
1426l, 73 70 31 23 70 19 85 65 55 7 31 65 40;
1427s, 91 8 65 75 44 76 23 34 76 4;
1427l, 70 6 36 31 27 32 32 35 35 48;
1428s, 52 50 18 87 50 51 35 49 76 49;
1428l, 70 71 44 6 35 7 27 33 35 24;
1429s, 84 76 5 55 1 20 37 61 76 3 33 37;
1429l, 84 12 58 31 86 31 33 36 76 27 55 33;
1430s, 43 55 23 44 49 23 33 20 34 87 55 17 62;
1430l, 31 16 87 85 32 49 65 31 12 44 16 76 19;
1431s, 23 74 79 20 65 61 87;
1431l, 12 74 18 31 65 53 19;
1432s, 5 84 37 36 41 31 79 84 92 65;
1432l, 55 37 88 36 28 19 79 17 39 2;
1433s, 5 37 33 49 31 56 65 65 78 34 17 53;
1433l, 12 21 31 33 19 56 70 70 58 23 31 53;
1434s, 48 79 70 49 12 44 34 33 61 49;
1434l, 6 31 5 49 12 44 51 32 70 2;
1435s, 27 78 55 73 16 31 87 57 58 53;
1435l, 20 76 49 26 23 49 6 27 7 65;
1436s, 24 31 12 32 21 31 35 49 77 82 35 51 12 6;
1436l, 23 66 35 35 85 31 33 35 31 38 33 34 76 32;
1437s, 74 32 74 49 67 57 55 58 52 71 55 17 35 61 16 20;
1437l, 62 20 62 19 52 31 35 20 65 17 19 17 33 18 58 66;
1438s, 74 87 58 31 73 23 73 55 17 34;
1438l, 49 43 59 76 81 53 81 76 49 66;
1439s, 76 5 19 76 31 30 7 68 34 44 71 57;
1439l, 57 79 79 35 31 24 2 9 33 11 7 55;
1440s, 87 65 16 24 67 19 29 71 55;
1440l, 31 65 44 31 65 88 26 85 35;
1441s, 35 49 32 17 58 49 53 50 52 57;
1441l, 33 49 35 23 58 49 85 32 19 66;
1442s, 31 84 70 71 34 53 31 12 36 76 57 34;
1442l, 53 84 23 71 79 75 27 76 16 31 67 55;
1443s, 89 23 75 70 21 35 34 76 31 19 31 53;
1443l, 43 27 85 48 32 33 79 35 20 31 51 53;
1444s, 70 50 23 84 48 20 70 55 34 76 79 82 34 79 49 62 24 11 32 34;
1444l, 79 56 49 66 87 32 34 88 7 76 11 82 34 35 87 61 31 6 24 27;
1445s, 24 65 6 50 57 6 44 49 31 6 34 7 88 20 76 34;
1445l, 32 57 65 18 24 65 19 17 5 70 43 58 62 58 34 77;
1446s, 84 65 20 53 33 16 7 27 23 79 87 53 27 55 71 34 76 87 89;
1446l, 84 71 20 53 33 48 7 70 23 23 87 88 70 49 57 84 76 87 33;
1447s, 31 23 70 61 31 65 6 7 23 87 44 24 7 79 33;
1447l, 31 43 23 76 32 67 74 27 49 65 55 32 37 85 76;
1448s, 43 84 19 55 44 49 70 33 31 23 6 14 39 50 36 12;
1448l, 61 67 19 23 44 76 87 34 85 31 85 19 54 50 31 27;
1449s, 55 70 24 56 82 70 53 71 25 35 27 56 34;
1449l, 76 23 62 31 82 34 6 5 4 27 76 56 2;
1450s, 49 55 65 35 24 50 51 3 34 79 50 34 68 66;
1450l, 49 76 5 49 77 49 34 3 70 34 27 34 90 58;
1451s, 87 75 84 82 37 21 6 58 21 35 6 79 5 16 2;
1451l, 48 70 51 82 65 58 61 5 27 34 85 85 12 49 31;
1452s, 49 7 57 27 34 12 87 44 27 34 88 23 11 34 16 70 19 76 65 53;
1452l, 37 76 24 44 31 32 31 2 34 34 88 18 27 51 16 5 65 76 32 70;
1453s, 33 49 6 45 27 6 65 31 6 35 53 67;
1453l, 49 37 55 78 27 45 53 35 54 33 53 32;
1454s, 44 51 53 25 70 27 71 19 6 49 35 76 11 23 21 34 76 35 45;
1454l, 76 23 53 28 49 7 71 31 49 32 49 76 21 22 21 23 76 55 61;
